單字,翻譯,英文例句,中文例句
classroom,教室,The classroom is bright and clean.,教室明亮乾淨。
clause,條款,The contract contains a confidentiality clause.,合約包含一項保密條款。
clean,清潔的、打掃,She cleaned the room before the guests arrived.,她在客人到來前打掃了房間。
clear,清楚的、清除,His explanation was clear and simple.,他的解釋清楚又簡單。
clearance,清除、清倉,The store is having a clearance sale.,商店正在舉行清倉特賣。
clearly,清楚地,She clearly explained the process.,她清楚地解釋了流程。
clerk,店員、職員,The clerk helped me find the book.,店員幫我找到那本書。
clever,聰明的,That was a clever solution to the problem.,那是個聰明的解決方法。
client,客戶,The lawyer met with a new client.,律師會見了一位新客戶。
climate,氣候,The climate here is warm and humid.,這裡的氣候溫暖潮濕。
climb,爬,They climbed the mountain last weekend.,他們上週末爬了山。
clinic,診所,She works at a dental clinic.,她在牙科診所工作。
clock,時鐘,The clock on the wall stopped working.,牆上的時鐘壞了。
close,關閉、親近的,The store closes at 9 p.m.,商店晚上 9 點關門。
closed,關閉的,The museum is closed on Mondays.,博物館週一休館。
closely,緊密地,We worked closely with the design team.,我們和設計團隊緊密合作。
closet,衣櫥,She hung her clothes in the closet.,她把衣服掛在衣櫥裡。
cloth,布料,The tailor used fine cloth to make the suit.,裁縫用上好的布料製作西裝。
clothe,給…穿衣,They clothed the child in warm clothes.,他們給孩子穿上暖和的衣服。
clothes,衣服,She bought new clothes for the party.,她為派對買了新衣服。
clothing,服裝,The store sells men’s and women’s clothing.,這家店賣男裝和女裝。
cloud,雲,Dark clouds covered the sky.,烏雲遮住了天空。
club,俱樂部,He joined a tennis club.,他加入了一個網球俱樂部。
clue,線索,The police found a clue at the crime scene.,警方在犯罪現場找到了一個線索。
cluster,群集、簇,A cluster of stars was visible in the night sky.,夜空中可以看到一簇星星。
coach,教練、巴士,The coach gave the team a pep talk.,教練給團隊做了激勵演講。
coal,煤炭,The factory used coal as fuel.,工廠使用煤炭作為燃料。
coalition,聯盟、結盟,The two parties formed a coalition.,兩個政黨組成了聯盟。
coast,海岸,They walked along the coast at sunset.,他們在日落時分沿著海岸散步。
coastal,沿海的,The town is famous for its coastal scenery.,這個小鎮以沿海景色聞名。
coat,外套,He wore a thick coat in winter.,他冬天穿了一件厚外套。
code,代碼、規範,The software code was updated yesterday.,軟體程式碼昨天更新了。
coffee,咖啡,She drinks a cup of coffee every morning.,她每天早上喝一杯咖啡。
coin,硬幣,He dropped a coin into the vending machine.,他投了一枚硬幣進販賣機。
coincide,同時發生、一致,Their opinions coincide on this issue.,他們在這個問題上的意見一致。
cold,冷的、感冒,The weather is very cold today.,今天天氣很冷。
collapse,倒塌、崩潰,The building collapsed during the earthquake.,這棟建築在地震中倒塌了。
colleague,同事,She is a friendly colleague.,她是一位友善的同事。
collect,收集、領取,He collects stamps as a hobby.,他把集郵當作興趣。
collection,收藏、收集物,She has a large collection of books.,她有大量的藏書。
collective,集體的,It was a collective decision by the team.,這是團隊的集體決定。
college,大學,He is studying law at college.,他正在大學攻讀法律。
collision,碰撞,The car accident was caused by a head-on collision.,車禍是正面碰撞造成的。
colonel,上校,The colonel gave orders to the soldiers.,上校向士兵下達命令。
colony,殖民地,The country used to be a British colony.,這個國家曾是英國殖民地。
color,顏色,What’s your favorite color?,你最喜歡的顏色是什麼？
column,欄、專欄,The article was published in the newspaper’s opinion column.,這篇文章刊登在報紙的意見專欄中。
combat,戰鬥,The soldiers were trained for combat.,士兵接受了戰鬥訓練。
combination,組合,The dessert is a combination of fruit and cream.,這道甜點是水果和鮮奶油的組合。
combine,結合,The company plans to combine two departments.,公司計劃合併兩個部門。
come,來,She came to the party late.,她晚到派對。
comedy,喜劇,That movie is a romantic comedy.,那部電影是一部浪漫喜劇。
comfort,舒適、安慰,This chair provides great comfort.,這張椅子非常舒適。
comfortable,舒適的,The hotel room was comfortable and clean.,這間飯店房間舒適又乾淨。
comic,漫畫、喜劇的,He bought a comic book at the store.,他在商店買了一本漫畫書。
command,命令,The officer gave a command to the soldiers.,軍官向士兵下達命令。
commander,指揮官,The commander led his troops into battle.,指揮官帶領部隊進入戰場。
commemorate,紀念,A statue was built to commemorate the hero.,建了一座雕像來紀念這位英雄。
comment,評論,She left a comment on the article.,她在文章下留下了一則評論。
commercial,商業的、廣告,The company produced a new TV commercial.,公司製作了一則新的電視廣告。
commission,委員會、佣金,He earns a commission on every sale.,他每筆銷售都能賺取佣金。
commit,犯罪、承諾,He committed a serious crime.,他犯下了一個嚴重罪行。
commitment,承諾、投入,She made a commitment to finish the project.,她承諾完成這個專案。
committee,委員會,The committee approved the new policy.,委員會批准了新政策。
commodity,商品,Oil is an important global commodity.,石油是重要的全球商品。
common,普通的、共同的,English is a common language in business.,英語是商業中常用的語言。
communicate,溝通,They communicate by email.,他們透過電子郵件溝通。
communication,溝通、通信,Good communication is important in a team.,良好的溝通在團隊中很重要。
community,社區、群體,The community supports local businesses.,社區支持在地企業。
company,公司,He works for a software company.,他在一家軟體公司工作。
compare,比較,We compared prices before buying the car.,我們在買車前比較了價格。
comparison,比較,A comparison of the two products shows clear differences.,兩個產品的比較顯示了明顯的差異。
compete,競爭,Many companies compete in the global market.,許多公司在全球市場競爭。
competition,競賽、競爭,The company faces strong competition.,公司面臨激烈的競爭。
competitive,有競爭力的,The company offers competitive salaries.,公司提供有競爭力的薪水。
competitor,競爭者,Their main competitor released a new product.,他們的主要競爭對手推出了一款新產品。
compile,編輯、彙編,The researcher compiled data from several sources.,研究員從多個來源彙編資料。
complain,抱怨,Customers complained about the slow service.,顧客抱怨服務太慢。
complaint,抱怨、投訴,The company received several complaints from clients.,公司收到幾個客戶投訴。
complete,完成、完整的,She completed the report on time.,她準時完成了報告。
completely,完全地,The room was completely silent.,房間裡完全安靜。
completion,完成,The project is near completion.,專案接近完成。
complex,複雜的、綜合體,The problem is too complex to solve quickly.,這個問題太複雜，無法快速解決。
complexity,複雜性,The complexity of the system requires training.,系統的複雜性需要培訓。
complicate,使複雜,The new rules will complicate the process.,新規則會使流程更複雜。
complicated,複雜的,The instructions are too complicated.,說明太複雜了。
component,組成部分、零件,The engine has several important components.,引擎有幾個重要零件。
compose,組成、創作,The committee is composed of five members.,委員會由五名成員組成。
composer,作曲家,Mozart was a famous composer.,莫札特是一位著名作曲家。
composition,作文、構成,The student wrote a composition about travel.,學生寫了一篇關於旅行的作文。
compound,混合物、複合的,Water is a chemical compound.,水是一種化合物。
comprehensive,全面的、綜合的,The report provides a comprehensive analysis.,報告提供了一個全面的分析。
comprise,包含、由…組成,The team comprises ten people.,這個團隊由十人組成。
